checkpoint_step,proposal_seed,method,view,state_id,candidate_count,direct_selection_eligible,anchor_teacher,anchor_student,oracle_index,selected_index,oracle_lift,selected_lift,predicted_lift,selector_capture_raw,selector_capture_display,qw_qa_exploitation_gap,teacher_twin_directional_agreement,teacher_twin_pair_count,teacher_twin_disagreement_median,selected_twin_disagreement,oracle_twin_disagreement,random_candidate_twin_disagreement,qw_pairwise_accuracy,qw_pair_count,qw_spearman,qw_top1_agreement,latent_pairwise_rms,decoded_action_pairwise_rms,tanh_saturation_fraction,tanh_saturation_applicable,tanh_generated_candidate_fraction,scaled_boundary_or_outside_fraction,out_of_envelope_fraction,finite,model_family,teacher_kind
200000,1101,actor_local,fixed_state_mirror,3,64,1,1605.04248046875,1605.4998779296875,33,54,0.274658203125,-0.3323974609375,1.105224609375,-1.2102222222222223,0.0,1.4376220703125,0.38293650793650796,2016,3.16064453125,3.40771484375,1.5067138671875,3.830606460571289,0.6979166666666666,2016,0.5617673992673993,0.0,2.7936096542883697,0.9695779753688939,0.06770833333333333,1,1.0,0.06770833333333333,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,4,64,1,1445.7918701171875,1426.8839111328125,22,25,0.896484375,-1.7222900390625,0.36083984375,-1.9211601307189543,0.0,2.0831298828125,0.8591269841269841,2016,3.79132080078125,4.1495361328125,2.830810546875,3.7404861450195312,0.6790674603174603,2016,0.5191391941391942,0.0,2.1121447444302484,0.6769242025974445,0.189453125,1,1.0,0.189453125,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,5,64,1,1530.068603515625,1526.2249755859375,61,15,2.0557861328125,0.6104736328125,1.6778564453125,0.29695386259723294,0.29695386259723294,1.0673828125,0.6790674603174603,2016,1.92510986328125,1.73828125,2.9346923828125,2.0432605743408203,0.5639880952380952,2016,0.18855311355311355,0.0,2.6577385064122576,0.5379893995991929,0.06966145833333333,1,1.0,0.06966145833333333,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,6,64,1,899.4703979492188,900.4203491210938,41,19,2.81903076171875,1.062744140625,7.34820556640625,0.37698919609413906,0.37698919609413906,6.28546142578125,0.537468982630273,2015,8.39691162109375,5.6436767578125,9.21551513671875,8.47357177734375,0.6924603174603174,2016,0.5461080586080586,0.0,1.8688851619981564,0.3070904679886346,0.32421875,1,1.0,0.32421875,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,7,64,1,33.035823822021484,38.225345611572266,12,53,8.606666564941406,2.43798828125,2.1234512329101562,0.28326742564664437,0.28326742564664437,-0.31453704833984375,0.4885912698412698,2016,7.970267295837402,7.630481719970703,0.001895904541015625,7.8341454565525055,0.5734126984126984,2016,0.21423992673992673,0.0,3.1718037632518628,0.8038409179142346,0.039713541666666664,1,1.0,0.039713541666666664,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,0,1,1,1428.574951171875,1419.7420654296875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.353759765625,1.353759765625,1.353759765625,1.353759765625,1.0,0,1.0,1.0,0.0,0.0,0.125,1,1.0,0.125,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,1,1,1,1736.2918701171875,1741.6109619140625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5.3006591796875,5.3006591796875,5.3006591796875,5.3006591796875,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,1,1.0,0.08333333333333333,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,2,1,1,101.7715835571289,113.49263000488281,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7.6478271484375,7.6478271484375,7.6478271484375,7.6478271484375,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,3,1,1,1605.1878662109375,1605.4998779296875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.70947265625,1.70947265625,1.70947265625,1.70947265625,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,1,1.0,0.041666666666666664,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,4,1,1,1447.971435546875,1426.8839111328125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.3841552734375,1.3841552734375,1.3841552734375,1.3841552734375,1.0,0,1.0,1.0,0.0,0.0,0.2916666666666667,1,1.0,0.2916666666666667,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,5,1,1,1532.2181396484375,1526.2249755859375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.7607421875,1.7607421875,1.7607421875,1.7607421875,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,1,1.0,0.041666666666666664,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,6,1,1,914.6663208007812,900.4203491210938,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3.3724365234375,3.3724365234375,3.3724365234375,3.3724365234375,1.0,0,1.0,1.0,0.0,0.0,0.4166666666666667,1,1.0,0.4166666666666667,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,7,1,1,40.93587875366211,38.225345611572266,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.932270050048828,2.932270050048828,2.932270050048828,2.932270050048828,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,1,1.0,0.08333333333333333,0.0,1,matched_dsrl_na,target_qa
